Raw file	Experiment	Fraction	Enzyme	Enzyme mode	Enzyme first search	Enzyme mode first search	Use enzyme first search	Variable modifications	Fixed modifications	Multi modifications	Variable modifications first search	Use variable modifications first search	Requantify	Multiplicity	Max. missed cleavages	Max. labeled AAs	Labels0	Labels1	Labels2	LC-MS run type	Time-dependent recalibration	MS	MS/MS	MS3	MS/MS submitted	MS/MS submitted (SIL)	MS/MS submitted (ISO)	MS/MS submitted (PEAK)	MS/MS identified	MS/MS identified (SIL)	MS/MS identified (ISO)	MS/MS identified (PEAK)	MS/MS identified [%]	MS/MS identified (SIL) [%]	MS/MS identified (ISO) [%]	MS/MS identified (PEAK) [%]	Peptide sequences identified	Peaks	Peaks sequenced	Peaks sequenced [%]	Peaks repeatedly sequenced	Peaks repeatedly sequenced [%]	Isotope patterns	Isotope patterns sequenced	Isotope patterns sequenced (z>1)	Isotope patterns sequenced [%]	Isotope patterns sequenced (z>1) [%]	Isotope patterns repeatedly sequenced	Isotope patterns repeatedly sequenced [%]	Multiplets	Multiplets z=1	Multiplets z=2	Multiplets z=3	Multiplets z=4	Multiplets z=5	Multiplets z=6	Multiplets z=7	Multiplets sequenced	Multiplets sequenced [%]	Multiplets repeatedly sequenced	Multiplets repeatedly sequenced [%]	Multiplets identified	Multiplets identified [%]	Recalibrated	Av. absolute mass deviation [ppm]	Mass standard deviation [ppm]	Av. absolute mass deviation [mDa]	Mass standard deviation [mDa]
20191216_ZH_MEFs_Phosphoproteome_TiO2_1_11	Exp1	11	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	True	3	3	4		Arg6;Lys4	Arg10;Lys8	Standard		4340	39395	0	43030	19146	16614	7270	15160	10743	4073	344	35	56	25	4.7	4325	506260	34797	6.9	3165	9.1	81002	28978	28562	36	38	4638	16	7234	106	3181	3103	679	153	6	6	6376	88	4907	77	3381	53	+	0.39635	0.54328	0.30727	0.45553
20191216_ZH_MEFs_Phosphoproteome_TiO2_1_12	Exp1	12	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	True	3	3	4		Arg6;Lys4	Arg10;Lys8	Standard		4573	38905	0	42314	19027	16469	6818	14308	10041	3974	293	34	53	24	4.3	4199	513157	34455	6.7	3187	9.2	81120	28868	28405	36	38	4693	16	7151	96	3104	3144	676	119	8	4	6344	89	4917	78	3225	51	+	0.40825	0.56322	0.31998	0.4763
20191216_ZH_MEFs_Phosphoproteome_TiO2_2_01	Exp2	1	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	True	3	3	4		Arg6;Lys4	Arg10;Lys8	Standard		3427	41120	0	45451	20484	16305	8662	18307	12874	4906	527	40	63	30	6.1	5400	562424	35535	6.3	3412	9.6	90341	29332	28827	32	35	4884	17	8251	166	3559	3636	742	133	10	5	6615	80	5338	81	4176	63	+	0.45644	0.62786	0.36814	0.54026
20191216_ZH_MEFs_Phosphoproteome_TiO2_2_02	Exp2	2	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	True	3	3	4		Arg6;Lys4	Arg10;Lys8	Standard		3608	40801	0	45919	19778	15905	10236	16292	11596	4082	614	35	59	26	6	4283	528164	34884	6.6	3557	10	81125	27676	27129	34	36	5142	19	7590	182	3170	3330	723	156	11	18	6170	81	5061	82	3505	57	+	0.43138	0.58972	0.3439	0.50234
20191216_ZH_MEFs_Phosphoproteome_TiO2_2_03	Exp2	3	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	True	3	3	4		Arg6;Lys4	Arg10;Lys8	Standard		3896	40300	0	44867	19715	16018	9134	16574	11639	4366	569	37	59	27	6.2	4372	538395	34807	6.5	3582	10	82926	28152	27649	34	36	4949	18	7657	137	3277	3401	684	143	13	2	6235	81	5062	81	3549	57	+	0.43906	0.59713	0.3505	0.51355
20191216_ZH_MEFs_Phosphoproteome_TiO2_2_04	Exp2	4	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	True	3	3	4		Arg6;Lys4	Arg10;Lys8	Standard		3701	40689	0	45573	20364	15441	9768	16844	12066	4071	707	37	59	26	7.2	4437	528372	35259	6.7	3464	9.8	83894	28322	27749	34	36	5049	18	8140	139	3478	3534	799	174	9	7	6570	81	5326	81	3749	57	+	0.40737	0.55269	0.32732	0.4796
20191216_ZH_MEFs_Phosphoproteome_TiO2_2_05	Exp2	5	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	True	3	3	4		Arg6;Lys4	Arg10;Lys8	Standard		3776	40554	0	45408	19410	16290	9708	15485	10966	3962	557	34	56	24	5.7	4147	541815	34810	6.4	3552	10	84536	28048	27463	33	35	4938	18	7826	114	3375	3483	704	140	9	1	6296	80	5083	81	3409	54	+	0.43372	0.59934	0.34476	0.51642
20191216_ZH_MEFs_Phosphoproteome_TiO2_2_06	Exp2	6	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	True	3	3	4		Arg6;Lys4	Arg10;Lys8	Standard		3837	40359	0	45073	18960	16685	9428	13653	9824	3460	369	30	52	21	3.9	3806	509296	34517	6.8	3648	11	79886	27947	27468	35	37	4984	18	7348	95	3239	3171	686	141	12	4	6069	83	4894	81	3023	50	+	0.42431	0.58186	0.32799	0.48229
20191216_ZH_MEFs_Phosphoproteome_TiO2_2_07	Exp2	7	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	True	3	3	4		Arg6;Lys4	Arg10;Lys8	Standard		4010	40015	0	44218	21033	14779	8406	14910	10951	3468	491	34	52	23	5.8	4211	533328	34938	6.6	3237	9.3	85365	29084	28623	34	36	4609	16	8545	121	3829	3721	744	118	7	5	6930	81	5609	81	3468	50	+	0.42997	0.58737	0.32949	0.4812
20191216_ZH_MEFs_Phosphoproteome_TiO2_2_08	Exp2	8	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	True	3	3	4		Arg6;Lys4	Arg10;Lys8	Standard		4284	39483	0	43454	20538	14974	7942	13861	10204	3191	466	32	50	21	5.9	3669	513608	34125	6.6	3451	10	80592	28308	27860	35	37	4856	17	7777	116	3480	3367	701	108	3	2	6465	83	5262	81	3062	47	+	0.43397	0.58859	0.33686	0.49497
20191216_ZH_MEFs_Phosphoproteome_TiO2_2_09	Exp2	9	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	True	3	3	4		Arg6;Lys4	Arg10;Lys8	Standard		4188	39633	0	43990	19935	15341	8714	14112	10244	3435	433	32	51	22	5	3842	503377	33786	6.7	3674	11	78117	27723	27260	35	38	4931	18	7422	94	3144	3315	718	129	16	6	6239	84	5093	82	3105	50	+	0.44312	0.61379	0.33725	0.49614
20191216_ZH_MEFs_Phosphoproteome_TiO2_2_10	Exp2	10	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	True	3	3	4		Arg6;Lys4	Arg10;Lys8	Standard		4506	39033	0	43116	19768	15182	8166	13312	9840	3107	365	31	50	20	4.5	3558	495392	33581	6.8	3503	10	77253	27727	27272	36	38	4871	18	7279	85	3220	3192	668	110	3	1	6140	84	5001	81	2882	47	+	0.44767	0.61149	0.34049	0.5
20191216_ZH_MEFs_Phosphoproteome_TiO2_2_11	Exp2	11	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	True	3	3	4		Arg6;Lys4	Arg10;Lys8	Standard		4423	39088	0	43274	20048	14854	8372	12767	9476	2945	346	30	47	20	4.1	3534	491533	33680	6.9	3409	10	75691	27763	27321	37	39	4658	17	7322	91	3196	3176	712	136	10	1	6259	85	5102	82	2893	46	+	0.4356	0.58499	0.33415	0.4852
20191216_ZH_MEFs_Phosphoproteome_TiO2_2_12	Exp2	12	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	True	3	3	4		Arg6;Lys4	Arg10;Lys8	Standard		3425	41092	0	46565	19149	16470	10946	15620	11423	3828	369	34	60	23	3.4	3864	518510	34755	6.7	3676	11	79696	27442	26708	34	37	5122	19	7201	99	2932	3305	697	151	7	10	6007	83	4926	82	3503	58	+	0.44031	0.60149	0.3632	0.53671
20191216_ZH_MEFs_Phosphoproteome_TiO2_3_01	Exp3	1	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	True	3	3	4		Arg6;Lys4	Arg10;Lys8	Standard		4050	39978	0	44434	19693	15829	8912	15006	10935	3755	316	34	56	24	3.5	4260	511032	35211	6.9	3094	8.8	81744	28601	28081	35	37	4708	16	7874	111	3398	3555	665	133	7	5	6376	81	5278	83	3500	55	+	0.41435	0.55959	0.33067	0.48357
20191216_ZH_MEFs_Phosphoproteome_TiO2_3_02	Exp3	2	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	True	3	3	4		Arg6;Lys4	Arg10;Lys8	Standard		4157	39764	0	43730	20335	15463	7932	15124	11227	3547	350	35	55	23	4.4	4293	519978	34658	6.7	3199	9.2	82081	28459	27994	35	37	4793	17	8100	114	3391	3612	816	150	13	4	6580	81	5379	82	3537	54	+	0.41716	0.58195	0.3279	0.49574
20191216_ZH_MEFs_Phosphoproteome_TiO2_3_03	Exp3	3	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	True	3	3	4		Arg6;Lys4	Arg10;Lys8	Standard		4232	39605	0	43199	20249	15762	7188	15564	11348	3898	318	36	56	25	4.4	4470	517878	34501	6.7	3350	9.7	83081	28751	28298	35	37	4826	17	8136	137	3549	3536	763	136	12	3	6579	81	5370	82	3597	55	+	0.42571	0.58039	0.33065	0.48558
20191216_ZH_MEFs_Phosphoproteome_TiO2_3_04	Exp3	4	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	True	3	3	4		Arg6;Lys4	Arg10;Lys8	Standard		4473	39155	0	42881	20058	15371	7452	14797	10915	3558	324	35	54	23	4.3	4307	515160	34652	6.7	2985	8.6	82251	28483	27988	35	37	4654	16	8053	170	3452	3498	770	148	12	3	6505	81	5305	82	3396	52	+	0.42136	0.56958	0.32744	0.47458
20191216_ZH_MEFs_Phosphoproteome_TiO2_3_05	Exp3	5	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	True	3	3	4		Arg6;Lys4	Arg10;Lys8	Standard		4643	38808	0	41891	20588	15137	6166	15313	11313	3678	322	37	55	24	5.2	4625	541578	34758	6.4	2883	8.3	87410	29401	28976	34	36	4423	15	8570	188	3697	3815	746	120	4	0	6845	80	5591	82	3689	54	+	0.42888	0.58945	0.3316	0.49161
20191216_ZH_MEFs_Phosphoproteome_TiO2_3_06	Exp3	6	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	True	3	3	4		Arg6;Lys4	Arg10;Lys8	Standard		4680	38750	0	41845	21364	14291	6190	15062	11260	3504	298	36	53	25	4.8	4229	519653	34201	6.6	3033	8.9	83230	28774	28429	35	37	4582	16	8444	156	3600	3684	843	141	15	5	6874	81	5624	82	3512	51	+	0.41898	0.57187	0.32637	0.48162
20191216_ZH_MEFs_Phosphoproteome_TiO2_3_07	Exp3	7	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	True	3	3	4		Arg6;Lys4	Arg10;Lys8	Standard		4754	38603	0	41545	20783	14878	5884	14762	11066	3385	311	36	53	23	5.3	4283	520599	34219	6.6	3024	8.8	83483	28875	28520	35	37	4677	16	8371	141	3780	3611	695	123	14	7	6780	81	5519	81	3466	51	+	0.43453	0.58984	0.33307	0.48276
20191216_ZH_MEFs_Phosphoproteome_TiO2_3_08	Exp3	8	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	True	3	3	4		Arg6;Lys4	Arg10;Lys8	Standard		4782	38554	0	41664	20683	14761	6220	15303	11355	3663	285	37	55	25	4.6	4201	536436	34267	6.4	2972	8.7	84938	28674	28294	34	36	4620	16	8191	119	3529	3604	776	147	13	3	6619	81	5429	82	3468	52	+	0.44074	0.59016	0.34359	0.49678
20191216_ZH_MEFs_Phosphoproteome_TiO2_3_09	Exp3	9	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	True	3	3	4		Arg6;Lys4	Arg10;Lys8	Standard		4808	38531	0	41797	20241	15024	6532	14925	11055	3579	291	36	55	24	4.5	4169	511957	33986	6.6	3132	9.2	81222	28294	27947	35	37	4708	17	7875	132	3432	3442	703	153	7	6	6454	82	5286	82	3383	52	+	0.43943	0.6052	0.33656	0.49793
20191216_ZH_MEFs_Phosphoproteome_TiO2_3_10	Exp3	10	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	True	3	3	4		Arg6;Lys4	Arg10;Lys8	Standard		4950	38127	0	42688	18762	14804	9122	13086	9651	3167	268	31	51	21	2.9	3444	407042	31835	7.8	3768	12	59140	25006	24627	42	45	5040	20	5877	57	2547	2661	548	59	5	0	5275	90	4548	86	2676	51	+	0.39392	0.54975	0.30276	0.46119
20191216_ZH_MEFs_Phosphoproteome_TiO2_3_11	Exp3	11	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	True	3	3	4		Arg6;Lys4	Arg10;Lys8	Standard		3893	40326	0	44810	21018	14824	8968	15788	11799	3606	383	35	56	24	4.3	4449	522331	35176	6.7	3368	9.6	83651	28737	28241	34	36	4921	17	8307	104	3286	3859	890	154	13	1	6719	81	5536	82	3603	54	+	0.41405	0.56984	0.3285	0.49073
20191216_ZH_MEFs_Phosphoproteome_TiO2_3_12	Exp3	12	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	True	3	3	4		Arg6;Lys4	Arg10;Lys8	Standard		3956	40202	0	44580	21041	14783	8756	16252	12063	3780	409	36	57	26	4.7	4448	526543	34958	6.6	3445	9.9	84355	28743	28245	34	36	4882	17	8278	116	3346	3896	759	142	12	7	6703	81	5466	82	3664	55	+	0.41936	0.57202	0.33311	0.49225
20191216_ZH_MEFs_Phosphoproteome_TiO2_4_01	Exp4	1	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	True	3	3	4		Arg6;Lys4	Arg10;Lys8	Standard		3434	41095	0	46248	19853	16089	10306	17267	12614	4171	482	37	64	26	4.7	4650	521090	34449	6.6	3831	11	81836	27673	27003	34	36	5080	18	7984	120	3601	3585	578	88	8	4	6365	80	5124	81	3963	62	+	0.41095	0.56407	0.32651	0.48083
20191216_ZH_MEFs_Phosphoproteome_TiO2_4_02	Exp4	2	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	True	3	3	4		Arg6;Lys4	Arg10;Lys8	Standard		3581	40878	0	45671	20859	15226	9586	16707	12320	3808	579	37	59	25	6	4657	527141	35160	6.7	3528	10	84262	28584	28081	34	36	4966	17	8407	159	3703	3716	689	125	8	7	6668	79	5447	82	3873	58	+	0.43041	0.58458	0.34456	0.50387
20191216_ZH_MEFs_Phosphoproteome_TiO2_4_03	Exp4	3	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	True	3	3	4		Arg6;Lys4	Arg10;Lys8	Standard		3717	40627	0	45246	20987	15021	9238	15875	11928	3542	405	35	57	24	4.4	4457	506157	34732	6.9	3590	10	81006	28077	27543	35	37	4987	18	8186	129	3674	3552	702	117	5	7	6659	81	5454	82	3675	55	+	0.42034	0.57228	0.33204	0.48495
20191216_ZH_MEFs_Phosphoproteome_TiO2_4_04	Exp4	4	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	True	3	3	4		Arg6;Lys4	Arg10;Lys8	Standard		3824	40407	0	44659	21249	14906	8504	16383	12346	3550	487	37	58	24	5.7	4473	529876	34845	6.6	3464	9.9	84001	28557	28043	34	36	4887	17	8372	155	3681	3711	691	126	3	5	6767	81	5501	81	3822	56	+	0.42836	0.58979	0.33949	0.50502
20191216_ZH_MEFs_Phosphoproteome_TiO2_4_05	Exp4	5	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	True	3	3	4		Arg6;Lys4	Arg10;Lys8	Standard		3809	40452	0	45030	20850	15024	9156	15828	11993	3391	444	35	58	23	4.8	4304	533972	35045	6.6	3412	9.7	83528	28391	27853	34	36	4973	18	8227	112	3681	3599	724	105	3	3	6674	81	5462	82	3702	55	+	0.4134	0.57642	0.32819	0.49487
20191216_ZH_MEFs_Phosphoproteome_TiO2_4_06	Exp4	6	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	True	3	3	4		Arg6;Lys4	Arg10;Lys8	Standard		4229	39572	0	43446	20758	14940	7748	15341	11455	3503	383	35	55	23	4.9	4162	521033	34238	6.6	3484	10	81271	28231	27771	35	37	5044	18	8018	142	3735	3452	583	100	4	2	6540	82	5363	82	3504	54	+	0.44424	0.59908	0.34608	0.49817
20191216_ZH_MEFs_Phosphoproteome_TiO2_4_07	Exp4	7	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	True	3	3	4		Arg6;Lys4	Arg10;Lys8	Standard		4420	39191	0	42967	20594	14821	7552	15770	11727	3640	403	37	57	25	5.3	4272	513743	33947	6.6	3332	9.8	79496	27874	27476	35	37	4823	17	7994	143	3724	3346	632	137	7	5	6541	82	5335	82	3587	55	+	0.42741	0.58839	0.33097	0.4892
20191216_ZH_MEFs_Phosphoproteome_TiO2_4_08	Exp4	8	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	True	3	3	4		Arg6;Lys4	Arg10;Lys8	Standard		4236	39520	0	43176	21282	14582	7312	16105	12099	3627	379	37	57	25	5.2	4320	527899	34439	6.5	3356	9.7	83246	28712	28305	34	37	4885	17	8276	128	3835	3555	654	98	4	2	6789	82	5562	82	3694	54	+	0.43262	0.59793	0.33971	0.50736
20191216_ZH_MEFs_Phosphoproteome_TiO2_4_09	Exp4	9	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	True	3	3	4		Arg6;Lys4	Arg10;Lys8	Standard		4544	38968	0	42326	21126	14484	6716	15535	11823	3352	360	37	56	23	5.4	4315	517998	34141	6.6	3241	9.5	83166	28626	28202	34	37	4796	17	8467	147	3891	3601	686	131	8	3	6864	81	5522	80	3684	54	+	0.43369	0.58707	0.34079	0.4962
20191216_ZH_MEFs_Phosphoproteome_TiO2_4_10	Exp4	10	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	True	3	3	4		Arg6;Lys4	Arg10;Lys8	Standard		4664	38782	0	42034	20781	14749	6504	14792	11081	3374	337	35	53	23	5.2	4071	506681	33826	6.7	3404	10	79553	28159	27674	35	37	4918	17	7867	97	3453	3476	710	121	7	3	6491	83	5364	83	3372	52	+	0.42929	0.58134	0.33743	0.49494
20191216_ZH_MEFs_Phosphoproteome_TiO2_4_11	Exp4	11	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	True	3	3	4		Arg6;Lys4	Arg10;Lys8	Standard		4698	38671	0	41910	20723	14709	6478	15145	11340	3454	351	36	55	23	5.4	4114	506274	33592	6.6	3453	10	79336	28084	27680	35	37	4922	18	7870	115	3604	3400	634	112	4	1	6524	83	5393	83	3466	53	+	0.43342	0.59719	0.33748	0.50419
